Date,Close
3/15/2019 16:00:00,80.29
3/18/2019 16:00:00,86.21
3/19/2019 16:00:00,89.87
3/20/2019 16:00:00,88.36
3/21/2019 16:00:00,90.08
3/22/2019 16:00:00,87.75
3/25/2019 16:00:00,85.48
3/26/2019 16:00:00,89.02
3/27/2019 16:00:00,87
3/28/2019 16:00:00,84.69
3/29/2019 16:00:00,81.69
4/1/2019 16:00:00,79.94
4/2/2019 16:00:00,76.9
4/3/2019 16:00:00,76.98
4/4/2019 16:00:00,80.18
4/5/2019 16:00:00,82.58
4/8/2019 16:00:00,83.43
4/9/2019 16:00:00,81.99
4/10/2019 16:00:00,85.02
4/11/2019 16:00:00,84.03
4/12/2019 16:00:00,84.7
4/15/2019 16:00:00,83.35
4/16/2019 16:00:00,81.74
4/17/2019 16:00:00,80.38
4/18/2019 16:00:00,80.74
4/22/2019 16:00:00,80.62
4/23/2019 16:00:00,83.92
4/24/2019 16:00:00,84.23
4/25/2019 16:00:00,86.6
4/26/2019 16:00:00,86.85
4/29/2019 16:00:00,86.91
4/30/2019 16:00:00,85.14
5/1/2019 16:00:00,85.72
5/2/2019 16:00:00,84.54
5/3/2019 16:00:00,86.21
5/6/2019 16:00:00,84.06
5/7/2019 16:00:00,79.49
5/8/2019 16:00:00,80.49
5/9/2019 16:00:00,79.6
5/10/2019 16:00:00,81.23
5/13/2019 16:00:00,79.99
5/14/2019 16:00:00,82.14
5/15/2019 16:00:00,86.44
5/16/2019 16:00:00,89.01
5/17/2019 16:00:00,88.86
5/20/2019 16:00:00,83.71
5/21/2019 16:00:00,85.24
5/22/2019 16:00:00,87.41
5/23/2019 16:00:00,86.61
5/24/2019 16:00:00,87.29
5/28/2019 16:00:00,86.48
5/29/2019 16:00:00,81.7
5/30/2019 16:00:00,84.06
5/31/2019 16:00:00,84.03
6/3/2019 16:00:00,84.12
6/4/2019 16:00:00,84.7
6/5/2019 16:00:00,92.01
6/6/2019 16:00:00,92.66
6/7/2019 16:00:00,95.19
6/10/2019 16:00:00,98.49
6/11/2019 16:00:00,94.58
6/12/2019 16:00:00,98.46
6/13/2019 16:00:00,100.91
6/14/2019 16:00:00,108.48
6/17/2019 16:00:00,115.89
6/18/2019 16:00:00,119.6
6/19/2019 16:00:00,125.31
6/20/2019 16:00:00,134.71
6/21/2019 16:00:00,117.52
6/24/2019 16:00:00,124.39
6/25/2019 16:00:00,130.97
6/26/2019 16:00:00,125.21
6/27/2019 16:00:00,119.69
6/28/2019 16:00:00,123.56
7/1/2019 16:00:00,125.02
7/2/2019 16:00:00,120.52
7/3/2019 13:00:00,128.68
7/5/2019 16:00:00,130.16
7/8/2019 16:00:00,124.62
7/9/2019 16:00:00,132.29
7/10/2019 16:00:00,132.31
7/11/2019 16:00:00,137.62
7/12/2019 16:00:00,126.08
7/15/2019 16:00:00,127.42
7/16/2019 16:00:00,128.47
7/17/2019 16:00:00,125.68
7/18/2019 16:00:00,123.6
7/19/2019 16:00:00,123.32
7/22/2019 16:00:00,113.15
7/23/2019 16:00:00,102.98
7/24/2019 16:00:00,104.92
7/25/2019 16:00:00,105.39
7/26/2019 16:00:00,107.73
7/29/2019 16:00:00,106.95
7/30/2019 16:00:00,108.9
7/31/2019 16:00:00,105.67
8/1/2019 16:00:00,101.84
8/2/2019 16:00:00,102.71
8/5/2019 16:00:00,98.97
8/6/2019 16:00:00,103.44
8/7/2019 16:00:00,105.96
8/8/2019 16:00:00,104
8/9/2019 16:00:00,102.5
8/12/2019 16:00:00,99.61
8/13/2019 16:00:00,107.41
8/14/2019 16:00:00,103.3
8/15/2019 16:00:00,102.56
8/16/2019 16:00:00,106.1
8/19/2019 16:00:00,110.2
8/20/2019 16:00:00,112.74
8/21/2019 16:00:00,112.69
8/22/2019 16:00:00,106.34
8/23/2019 16:00:00,101.5
8/26/2019 16:00:00,102.67
8/27/2019 16:00:00,101.06
8/28/2019 16:00:00,102.37
8/29/2019 16:00:00,101.66
8/30/2019 16:00:00,89.16
9/3/2019 16:00:00,90.79
9/4/2019 16:00:00,85.15
9/5/2019 16:00:00,88.25
9/6/2019 16:00:00,83.3
9/9/2019 16:00:00,86.04
9/10/2019 16:00:00,85.9
9/11/2019 16:00:00,90.87
9/12/2019 16:00:00,88.39
9/13/2019 16:00:00,91.33
9/16/2019 16:00:00,91.07
9/17/2019 16:00:00,94.93
9/18/2019 16:00:00,95.4
9/19/2019 16:00:00,97.34
9/20/2019 16:00:00,95.21
9/23/2019 16:00:00,95.53
9/24/2019 16:00:00,89.79
9/25/2019 16:00:00,91.39
9/26/2019 16:00:00,95.1
9/27/2019 16:00:00,95.74
9/30/2019 16:00:00,92.37
10/1/2019 16:00:00,88.57
10/2/2019 16:00:00,90.77
10/3/2019 16:00:00,89.92
10/4/2019 16:00:00,91.28
10/7/2019 16:00:00,89.38
10/8/2019 16:00:00,86.46
10/9/2019 16:00:00,86.15
10/10/2019 16:00:00,76.96
10/11/2019 16:00:00,78.77
10/14/2019 16:00:00,77.81
10/15/2019 16:00:00,78.21
10/16/2019 16:00:00,77
10/17/2019 16:00:00,76.53
10/18/2019 16:00:00,72.54
10/21/2019 16:00:00,73.6
10/22/2019 16:00:00,72.12
10/23/2019 16:00:00,71.54
10/24/2019 16:00:00,72.5
10/25/2019 16:00:00,71.85
10/28/2019 16:00:00,67.69
10/29/2019 16:00:00,69.05
10/30/2019 16:00:00,72.64
10/31/2019 16:00:00,76
11/1/2019 16:00:00,75.54
11/4/2019 16:00:00,75.89
11/5/2019 16:00:00,77.13
11/6/2019 16:00:00,72.6
11/7/2019 16:00:00,79.83
11/8/2019 16:00:00,85.22
11/11/2019 16:00:00,81.64
11/12/2019 16:00:00,80.03
11/13/2019 16:00:00,81.98
11/14/2019 16:00:00,82.55
11/15/2019 16:00:00,85.48
11/18/2019 16:00:00,82.84
11/19/2019 16:00:00,82.75
11/20/2019 16:00:00,80
11/21/2019 16:00:00,79.85
11/22/2019 16:00:00,77.93
11/25/2019 16:00:00,77.97
11/26/2019 16:00:00,78.03
11/27/2019 16:00:00,77.04
11/29/2019 13:00:00,77.41
12/2/2019 16:00:00,77.5
12/3/2019 16:00:00,78.09
12/4/2019 16:00:00,76.32
12/5/2019 16:00:00,72.54
12/6/2019 16:00:00,73.09
12/9/2019 16:00:00,72.82
12/10/2019 16:00:00,74.1
12/11/2019 16:00:00,73.42
12/12/2019 16:00:00,73.65
12/13/2019 16:00:00,74.01
12/16/2019 16:00:00,74
12/17/2019 16:00:00,73.43
12/18/2019 16:00:00,74
12/19/2019 16:00:00,73.81
12/20/2019 16:00:00,70.97
12/23/2019 16:00:00,75.26
12/24/2019 13:00:00,76
12/26/2019 16:00:00,78.35
12/27/2019 16:00:00,75.34
12/30/2019 16:00:00,73.44
12/31/2019 16:00:00,75.87
1/2/2020 16:00:00,73.63
1/3/2020 16:00:00,75.11
1/6/2020 16:00:00,77.53
1/7/2020 16:00:00,76.33
1/8/2020 16:00:00,77.02
1/9/2020 16:00:00,78.46
1/10/2020 16:00:00,80.3
1/13/2020 16:00:00,83.65
1/14/2020 16:00:00,84.33
1/15/2020 16:00:00,82.72
1/16/2020 16:00:00,83
1/17/2020 16:00:00,82.5
1/21/2020 16:00:00,81.52
1/22/2020 16:00:00,81.68
1/23/2020 16:00:00,79.45
1/24/2020 16:00:00,80.76
1/27/2020 16:00:00,84.97
1/28/2020 16:00:00,92.4
1/29/2020 16:00:00,94.09
1/30/2020 16:00:00,93.49
1/31/2020 16:00:00,89.5
2/3/2020 16:00:00,92.41
2/4/2020 16:00:00,94.98
2/5/2020 16:00:00,95.18
2/6/2020 16:00:00,95.22
2/7/2020 16:00:00,92.52
2/10/2020 16:00:00,92.06
2/11/2020 16:00:00,92.58
2/12/2020 16:00:00,92.85
2/13/2020 16:00:00,94.44
2/14/2020 16:00:00,98.96
2/18/2020 16:00:00,102.31
2/19/2020 16:00:00,105.82
2/20/2020 16:00:00,107
2/21/2020 16:00:00,105.58
2/24/2020 16:00:00,102.29
2/25/2020 16:00:00,96.54
2/26/2020 16:00:00,96.12
2/27/2020 16:00:00,94.98
2/28/2020 16:00:00,91.94
3/2/2020 16:00:00,97.95
3/3/2020 16:00:00,95.45
3/4/2020 16:00:00,98.13
3/5/2020 16:00:00,96.15
3/6/2020 16:00:00,93.75
3/9/2020 16:00:00,83.14
3/10/2020 16:00:00,85.92
3/11/2020 16:00:00,76.96
3/12/2020 16:00:00,65.69
3/13/2020 16:00:00,71.53
3/16/2020 16:00:00,56.89
3/17/2020 16:00:00,59
3/18/2020 16:00:00,46.51
3/19/2020 16:00:00,51.64
3/20/2020 16:00:00,59.78
3/23/2020 16:00:00,60.58
3/24/2020 16:00:00,66.32
3/25/2020 16:00:00,74.16
3/26/2020 16:00:00,84.09
3/27/2020 16:00:00,80.77
3/30/2020 16:00:00,80.12
3/31/2020 16:00:00,75.93
4/1/2020 16:00:00,69.05
4/2/2020 16:00:00,68.92
4/3/2020 16:00:00,66.59
4/6/2020 16:00:00,70.92
4/7/2020 16:00:00,70.13
4/8/2020 16:00:00,69.15
4/9/2020 16:00:00,75.52
4/13/2020 16:00:00,72.94
4/14/2020 16:00:00,76.45
