Date,Close
3/15/2019 16:00:00,65.19
3/18/2019 16:00:00,65.93
3/19/2019 16:00:00,65.63
3/20/2019 16:00:00,64.3
3/21/2019 16:00:00,63.91
3/22/2019 16:00:00,60.98
3/25/2019 16:00:00,60.33
3/26/2019 16:00:00,61.22
3/27/2019 16:00:00,60.73
3/28/2019 16:00:00,61.98
3/29/2019 16:00:00,62.22
4/1/2019 16:00:00,64.36
4/2/2019 16:00:00,64.42
4/3/2019 16:00:00,65.06
4/4/2019 16:00:00,65.82
4/5/2019 16:00:00,65.55
4/8/2019 16:00:00,66.07
4/9/2019 16:00:00,65.2
4/10/2019 16:00:00,65.52
4/11/2019 16:00:00,65.91
4/12/2019 16:00:00,67.42
4/15/2019 16:00:00,67.38
4/16/2019 16:00:00,69.31
4/17/2019 16:00:00,70.35
4/18/2019 16:00:00,69.67
4/22/2019 16:00:00,69.09
4/23/2019 16:00:00,69.2
4/24/2019 16:00:00,68.83
4/25/2019 16:00:00,68.73
4/26/2019 16:00:00,69.51
4/29/2019 16:00:00,71.03
4/30/2019 16:00:00,70.7
5/1/2019 16:00:00,69.96
5/2/2019 16:00:00,70.36
5/3/2019 16:00:00,70.67
5/6/2019 16:00:00,70.41
5/7/2019 16:00:00,68.16
5/8/2019 16:00:00,68.22
5/9/2019 16:00:00,67.63
5/10/2019 16:00:00,67.9
5/13/2019 16:00:00,64.38
5/14/2019 16:00:00,65.26
5/15/2019 16:00:00,64.87
5/16/2019 16:00:00,65.98
5/17/2019 16:00:00,65.07
5/20/2019 16:00:00,64.96
5/21/2019 16:00:00,66.08
5/22/2019 16:00:00,64.66
5/23/2019 16:00:00,63.9
5/24/2019 16:00:00,64.39
5/28/2019 16:00:00,63.79
5/29/2019 16:00:00,63.71
5/30/2019 16:00:00,63.61
5/31/2019 16:00:00,62.15
6/3/2019 16:00:00,62.61
6/4/2019 16:00:00,65.88
6/5/2019 16:00:00,65.78
6/6/2019 16:00:00,66.47
6/7/2019 16:00:00,65.69
