Date,Close
3/15/2019 16:00:00,39.54
3/18/2019 16:00:00,39.61
3/19/2019 16:00:00,40.37
3/20/2019 16:00:00,40.13
3/21/2019 16:00:00,43.99
3/22/2019 16:00:00,41.62
3/25/2019 16:00:00,40.55
3/26/2019 16:00:00,40.32
3/27/2019 16:00:00,39.23
3/28/2019 16:00:00,39.34
3/29/2019 16:00:00,41.33
4/1/2019 16:00:00,42.25
4/2/2019 16:00:00,42.44
4/3/2019 16:00:00,43.9
4/4/2019 16:00:00,42.89
4/5/2019 16:00:00,43.32
4/8/2019 16:00:00,42.9
4/9/2019 16:00:00,41.72
4/10/2019 16:00:00,42.17
4/11/2019 16:00:00,42.28
4/12/2019 16:00:00,42.01
4/15/2019 16:00:00,41.82
4/16/2019 16:00:00,42.76
4/17/2019 16:00:00,43.15
4/18/2019 16:00:00,43.4
4/22/2019 16:00:00,43.4
4/23/2019 16:00:00,42.77
4/24/2019 16:00:00,43.03
4/25/2019 16:00:00,42.75
4/26/2019 16:00:00,42.1
4/29/2019 16:00:00,42.11
4/30/2019 16:00:00,42.06
5/1/2019 16:00:00,41.9
5/2/2019 16:00:00,42.56
5/3/2019 16:00:00,43.33
5/6/2019 16:00:00,42.13
5/7/2019 16:00:00,40.26
5/8/2019 16:00:00,39.75
5/9/2019 16:00:00,39.27
5/10/2019 16:00:00,38.94
5/13/2019 16:00:00,37.38
5/14/2019 16:00:00,38.51
5/15/2019 16:00:00,38.41
5/16/2019 16:00:00,37.31
5/17/2019 16:00:00,36.06
5/20/2019 16:00:00,34.62
5/21/2019 16:00:00,35.64
5/22/2019 16:00:00,34.73
5/23/2019 16:00:00,33.82
5/24/2019 16:00:00,34
5/28/2019 16:00:00,32.94
5/29/2019 16:00:00,33.29
5/30/2019 16:00:00,33.32
5/31/2019 16:00:00,32.61
6/3/2019 16:00:00,32.69
6/4/2019 16:00:00,34.49
6/5/2019 16:00:00,33.34
6/6/2019 16:00:00,33.47
6/7/2019 16:00:00,33.99
6/10/2019 16:00:00,34.94
6/11/2019 16:00:00,34.84
6/12/2019 16:00:00,32.96
6/13/2019 16:00:00,33.38
6/14/2019 16:00:00,32.66
6/17/2019 16:00:00,32.43
6/18/2019 16:00:00,34.29
6/19/2019 16:00:00,33.94
6/20/2019 16:00:00,34.15
6/21/2019 16:00:00,33.25
6/24/2019 16:00:00,33.19
6/25/2019 16:00:00,32.68
6/26/2019 16:00:00,37.04
6/27/2019 16:00:00,38.07
6/28/2019 16:00:00,38.59
7/1/2019 16:00:00,40.11
7/2/2019 16:00:00,39.6
7/3/2019 13:00:00,39.59
7/5/2019 16:00:00,39.42
7/8/2019 16:00:00,40.41
7/9/2019 16:00:00,41.35
7/10/2019 16:00:00,42.9
7/11/2019 16:00:00,43.48
7/12/2019 16:00:00,44.51
7/15/2019 16:00:00,44.4
7/16/2019 16:00:00,43.06
7/17/2019 16:00:00,43.37
7/18/2019 16:00:00,44.67
7/19/2019 16:00:00,45.52
7/22/2019 16:00:00,47.19
7/23/2019 16:00:00,46.95
7/24/2019 16:00:00,47.99
7/25/2019 16:00:00,47.77
7/26/2019 16:00:00,47.49
7/29/2019 16:00:00,46.82
7/30/2019 16:00:00,47.46
7/31/2019 16:00:00,44.89
8/1/2019 16:00:00,43.6
8/2/2019 16:00:00,44.08
8/5/2019 16:00:00,41.94
8/6/2019 16:00:00,42.62
8/7/2019 16:00:00,41.75
8/8/2019 16:00:00,42.63
8/9/2019 16:00:00,41.52
8/12/2019 16:00:00,42.13
8/13/2019 16:00:00,44.17
8/14/2019 16:00:00,42.04
8/15/2019 16:00:00,42.24
8/16/2019 16:00:00,43.55
8/19/2019 16:00:00,45.01
8/20/2019 16:00:00,44.23
8/21/2019 16:00:00,44.17
8/22/2019 16:00:00,44.78
8/23/2019 16:00:00,42.96
8/26/2019 16:00:00,43.43
8/27/2019 16:00:00,42.44
8/28/2019 16:00:00,43.15
8/29/2019 16:00:00,44.67
8/30/2019 16:00:00,45.27
9/3/2019 16:00:00,44.99
9/4/2019 16:00:00,46.81
9/5/2019 16:00:00,49.03
9/6/2019 16:00:00,48.97
